customer_id,customer_name,gender,age,city,country,customer_segment,order_id,order_date,shipping_date,delivery_date,order_status,product_id,product_name,product_category,sub_category,brand,supplier_name,quantity,unit_price,total_amount,discount_percentage,shipping_cost,profit,profit_margin,warehouse_location,shipping_provider,delivery_time_days,customer_rating,review_sentiment,return_flag,product_views,add_to_cart_count,conversion_rate,repeat_purchase_flag,payment_method,sales_channel
CUST2824,,M,33,lagos,Ghana,returning,ORD000001,2022-06-28,2022-07-01,2022-07-06,delivered,PROD716,NovaTech Cooling,Home Appliances,Cooling,NovaTech,,4,1081.85,4327.4,52.16,115.03,-269.11,-6.22,Abuja,UPS,5,3.0,positive,Yes,3162,100,0.13,Y,wallet,marketplace
CUST1711,Lisa Garner,female,25,Abuja,Nigeria,returning,ORD000002,01-11-2024,2024-01-14,2024-01-16,pending,PROD181,Zentrix Cleaning,Home Appliances,Cleaning,Zentrix,SupplyHub Ltd,7,989.96,6929.72,16.02,140.81,1430.43,20.64,Accra,FedEx,2,4.0,,Y,4612,225,0.15,N,wallet,website
CUST4752,Wesley Miller,M,43,LAGOS,Nigeria,new,ORD000003,07/10/2023,07/10/2023,10-16-2023,returned,PROD242,Zentrix Cleaning,Home Appliances,Cleaning,Zentrix,,5,699.81,3499.05,8.3,76.56,929.63,26.57,Lagos,FedEx,9,4.0,positive,No,3176,611,0.16,no,wallet,website
CUST2876,Dakota Richardson,female,35,Cape Town,Kenya,new,ORD000004,2024-06-09,06-09-2024,06-15-2024,Returned,PROD208,Auralis Cooling,Home Appliances,Cooling,Auralis,,4,1167.52,4670.08,0.03,52.0,-650.49,-13.93,LAGOS,UPS,6,5.0,positive,Yes,4031,71,0.1,N,transfer,mobile_app
CUST8787,Michael Vargas,male,34,Accra,South Africa,VIP,ORD000005,16/02/2023,02-20-2023,02-23-2023,Returned,PROD562,NovaTech VR,Gaming,VR,NovaTech,PrimeSource,4,767.86,24571.52,42.47,13.54,-2774.86,-11.29,Lagos,UPS,3,4.0,neutral,no,1133,186,0.35,no,cash,mobile_app
CUST8749,Heather Bautista,male,24,Lagos,South Africa,new,ORD000006,2024-04-21,04-23-2024,05-03-2024,pending,PROD512,Auralis Smartphones,Electronics,Smartphones,Auralis,SupplyHub Ltd,4,640.66,2562.64,52.47,15.93,754.47,29.44,Accra,DHL,10,1.0,positive,yes,1412,209,0.28,no,cash,mobile_app
CUST7570,Kyle Russell,male,42,Lagos,South Africa,new,ORD000007,07-20-2024,07-21-2024,07-26-2024,pending,PROD294,Auralis Consoles,Gaming,Consoles,Auralis,PrimeSource,1,210.02,210.02,30.17,128.64,-13.32,-6.34,Accra,DHL,5,,positive,N,1976,207,0.05,No,transfer,website
CUST2343,Vanessa Parker,female,54,Accra,Kenya,VIP,ORD000008,23/02/2023,2023-02-27,09/03/2023,returned,PROD760,Auralis Cooling,Home Appliances,Cooling,Auralis,NextWave,6,1410.03,8460.18,6.0,82.96,1084.9,12.82,lagos,UPS,10,3.0,negative,yes,3639,557,0.16,N,wallet,website
CUST5905,Noah Dyer,Male,26,LAGOS,Nigeria,VIP,ORD000009,11-15-2022,2022-11-16,11-19-2022,Returned,PROD749,Auralis Cooling,Home Appliances,Cooling,Auralis,,8,1371.42,10971.36,2.65,53.37,-856.31,-7.8,LAGOS,FedEx,3,4.0,positive,Yes,666,39,1.2,no,card,marketplace
CUST3426,Christopher Evans,Male,37,LAGOS,Nigeria,VIP,ORD000010,03-07-2023,2023-03-11,13/03/2023,cancelled,PROD867,Zentrix VR,Gaming,VR,Zentrix,PrimeSource,3,176.03,528.09,19.93,139.97,153.8,29.12,lagos,UPS,2,4.0,positive,No,1872,103,0.16,No,wallet,marketplace
CUST4728,Glenn Palmer,F,30,Abuja,Kenya,new,ORD000011,23/05/2022,05-28-2022,05-31-2022,returned,PROD218,Auralis Men Wear,Fashion,Men Wear,Auralis,PrimeSource,5,116.79,583.95,59.05,21.77,201.3,34.47,lagos,UPS,3,5.0,neutral,Y,3583,72,0.14,N,wallet,marketplace
CUST3041,Anthony Flores,M,50,LAGOS,South Africa,new,ORD000012,2023-08-29,01/09/2023,09-02-2023,returned,PROD682,Auralis Cooling,Home Appliances,Cooling,Auralis,NextWave,1,394.26,394.26,26.51,102.97,51.71,13.12,lagos,DHL,1,5.0,negative,Yes,1974,345,0.05,no,transfer,mobile_app
CUST3414,,male,48,Accra,Nigeria,new,ORD000013,03/02/2023,07/02/2023,17/02/2023,delivered,PROD804,NovaTech Cooling,Home Appliances,Cooling,NovaTech,SupplyHub Ltd,7,1225.75,8580.25,55.05,22.6,-657.79,-7.67,Abuja,,10,4.0,,no,3702,163,0.19,N,cash,store
CUST5246,Ashley Lopez,F,35,Cape Town,South Africa,returning,ORD000014,07-17-2023,19/07/2023,2023-07-19,Returned,PROD653,NovaTech Women Wear,Fashion,Women Wear,NovaTech,PrimeSource,3,217.8,653.4,32.56,65.29,-23.68,-3.62,Abuja,GIG,0,1.0,,No,98,12,3.06,Y,cash,store
CUST9818,Richard Gilbert,female,56,lagos,South Africa,new,ORD000015,11/06/2024,13/06/2024,06-12-2024,pending,PROD269,HyperGrid VR,Gaming,VR,HyperGrid,PrimeSource,1,238.14,238.14,52.01,31.35,-1.65,-0.69,LAGOS,FedEx,-1,4.0,negative,No,2116,42,0.05,no,card,website
CUST6733,Miranda Ellis,Male,59,Lagos,Nigeria,VIP,ORD000016,02-13-2023,2023-02-18,2023-02-17,delivered,PROD217,OmniCore VR,Gaming,VR,OmniCore,PrimeSource,8,787.61,6300.88,6.87,123.8,2398.09,38.06,Lagos,,-1,4.0,,N,1674,39,0.48,no,transfer,website
CUST5941,Vanessa Brennan,female,25,Cape Town,Nigeria,new,ORD000017,2024-05-27,05-31-2024,06-04-2024,Returned,PROD942,HyperGrid Laptops,Electronics,Laptops,HyperGrid,SupplyHub Ltd,7,2409.81,16868.67,44.03,144.99,-24.54,-0.15,Accra,GIG,4,5.0,negative,Y,2061,45,0.34,no,cash,mobile_app
CUST8613,Amy Morris,F,42,LAGOS,Nigeria,new,ORD000018,2023-10-28,28/10/2023,03/11/2023,Returned,PROD818,Auralis Shoes,Fashion,Shoes,Auralis,,1,87.58,87.58,14.42,74.03,21.15,24.15,Abuja,DHL,6,2.0,negative,N,4814,378,0.02,no,wallet,store
CUST6419,Carolyn Perkins,Female,35,LAGOS,Kenya,new,ORD000019,01-30-2023,01-31-2023,01-31-2023,delivered,PROD856,HyperGrid Kitchen,Home Appliances,Kitchen,HyperGrid,GlobalTech,5,1265.68,6328.4,42.48,23.35,-790.84,-12.5,Lagos,,0,4.0,positive,Yes,4752,292,0.11,no,cash,store
CUST6582,Cynthia Ward,Male,34,Cape Town,South Africa,new,ORD000020,2022-05-14,05-16-2022,05-22-2022,pending,PROD252,OmniCore Smartphones,Electronics,Smartphones,OmniCore,GlobalTech,2,2486.01,4972.02,13.54,80.77,486.18,9.78,Abuja,UPS,6,3.0,positive,no,862,54,0.23,N,transfer,marketplace
CUST2330,Ryan Gutierrez,male,53,Lagos,Ghana,new,ORD000021,11/07/2024,15/07/2024,2024-07-23,delivered,PROD389,HyperGrid Shoes,Fashion,Shoes,HyperGrid,SupplyHub Ltd,4,195.02,780.08,25.51,83.96,160.85,20.62,LAGOS,FedEx,8,3.0,negative,No,1068,120,0.37,N,wallet,store
CUST5460,Bryan Mahoney,Female,46,Lagos,Nigeria,VIP,ORD000022,2023-10-23,2023-10-26,2023-10-29,pending,PROD941,Auralis Accessories,Electronics,Accessories,Auralis,,1,1955.15,1955.15,59.82,68.2,582.31,29.78,Lagos,GIG,3,1.0,neutral,Y,3422,508,0.03,Y,cash,website
CUST8451,Angela Hogan,M,38,Lagos,South Africa,VIP,ORD000023,03/01/2022,07/01/2022,2022-01-14,delivered,PROD874,HyperGrid Shoes,Fashion,Shoes,HyperGrid,NextWave,1,279.75,279.75,7.29,146.11,51.72,18.49,lagos,FedEx,7,,,Yes,1890,59,0.05,No,card,mobile_app
