customer_id,customer_name,gender,age,country,customer_segment,order_id,order_date,shipping_date,delivery_date,delivery_time_days,order_status,product_id,product_name,product_category,sub_category,brand,supplier_name,quantity,unit_price,total_amount,discount_percentage,shipping_cost,profit,profit_margin,warehouse_location,shipping_provider,Customer_rating,return_flag,product_views,add_to_cart_count,repeat_purchase_flag,payment_method,sales_channel
CUST2824,,Male,33,Ghana,Returning,ORD000001,6/28/2022,7/1/2022,7/6/2022,5,Delivered,PROD716,NovaTech Cooling,Home Appliances,Cooling,NovaTech,GlobalTech,4,1081.85,4327.4,52.16,115.03,-269.11,-6.22,Abuja,UPS,3,Yes,3162,100,Yes,Wallet,Marketplace
CUST1711,Lisa Garner,Female,25,Nigeria,Returning,ORD000002,1/11/2024,1/14/2024,1/16/2024,2,Pending,PROD181,Zentrix Cleaning,Home Appliances,Cleaning,Zentrix,SupplyHub Ltd,7,989.96,6929.72,16.02,140.81,1430.43,20.64,Accra,FedEx,4,Yes,4612,225,No,Wallet,Website
CUST4752,Wesley Miller,Male,43,Nigeria,New,ORD000003,7/10/2023,7/10/2023,10/16/2023,9,Returned,PROD242,Zentrix Cleaning,Home Appliances,Cleaning,Zentrix,PrimeSource,5,699.81,3499.05,8.3,76.56,929.63,26.57,Lagos,FedEx,4,No,3176,611,No,Wallet,Website
CUST2876,Dakota Richardson,Female,35,Kenya,New,ORD000004,6/9/2024,6/9/2024,6/15/2024,6,Returned,PROD208,Auralis Cooling,Home Appliances,Cooling,Auralis,GlobalTech,4,1167.52,4670.08,0.03,52,-650.49,-13.93,Lagos,UPS,5,Yes,4031,71,No,Transfer,Mobile_App
CUST8787,Michael Vargas,Male,34,South Africa,Vip,ORD000005,2/16/2023,2/20/2023,2/23/2023,3,Returned,PROD562,NovaTech VR,Gaming,VR,NovaTech,PrimeSource,4,767.86,24571.52,42.47,13.54,-2774.86,-11.29,Lagos,UPS,4,No,1133,186,No,Cash,Mobile_App
CUST8749,Heather Bautista,Male,24,South Africa,New,ORD000006,4/21/2024,4/23/2024,5/3/2024,10,Pending,PROD512,Auralis Smartphones,Electronics,Smartphones,Auralis,SupplyHub Ltd,4,640.66,2562.64,52.47,15.93,754.47,29.44,Accra,DHL,1,Yes,1412,209,No,Cash,Mobile_App
CUST7570,Kyle Russell,Male,42,South Africa,New,ORD000007,7/20/2024,7/21/2024,7/26/2024,5,Pending,PROD294,Auralis Consoles,Gaming,Consoles,Auralis,PrimeSource,1,210.02,210.02,30.17,128.64,-13.32,-6.34,Accra,DHL,0,No,1976,207,No,Transfer,Website
CUST2343,Vanessa Parker,Female,54,Kenya,Vip,ORD000008,2/23/2023,2/27/2023,9/3/2023,10,Returned,PROD760,Auralis Cooling,Home Appliances,Cooling,Auralis,NextWave,6,1410.03,8460.18,6,82.96,1084.9,12.82,Lagos,UPS,3,Yes,3639,557,No,Wallet,Website
CUST5905,Noah Dyer,Male,26,Nigeria,Vip,ORD000009,11/15/2022,11/16/2022,11/19/2022,3,Returned,PROD749,Auralis Cooling,Home Appliances,Cooling,Auralis,GlobalTech,8,1371.42,10971.36,2.65,53.37,-856.31,-7.8,Lagos,FedEx,4,Yes,666,39,No,Card,Marketplace
CUST3426,Christopher Evans,Male,37,Nigeria,Vip,ORD000010,3/7/2023,3/11/2023,3/13/2023,2,Cancelled,PROD867,Zentrix VR,Gaming,VR,Zentrix,PrimeSource,3,176.03,528.09,19.93,139.97,153.8,29.12,Lagos,UPS,4,No,1872,103,No,Wallet,Marketplace
